name,srx,platform,layout,ilength,srr,spots,bases
GSM3913240,SRX6385890,ILLUMINA,SINGLE,,SRR9623369,"11,825,590",892
GSM3913241,SRX6385891,ILLUMINA,SINGLE,,SRR9623370,"11,679,990",881
GSM3913242,SRX6385892,ILLUMINA,SINGLE,,SRR9623371,"11,129,281",840
GSM3913243,SRX6385893,ILLUMINA,SINGLE,,SRR9623372,"10,049,284",758
GSM3913244,SRX6385894,ILLUMINA,SINGLE,,SRR9623373,"11,263,770",850
GSM3913245,SRX6385895,ILLUMINA,SINGLE,,SRR9623374,"10,873,138",820
GSM3913246,SRX6385896,ILLUMINA,SINGLE,,SRR9623375,"10,261,921",774
GSM3913247,SRX6385897,ILLUMINA,SINGLE,,SRR9623376,"13,404,081",1
GSM3913248,SRX6385898,ILLUMINA,SINGLE,,SRR9623377,"21,892,595",1
MtHDTs_RNAi1/Ri1F,SRX9902536,ILLUMINA,PAIRED,,SRR13489928,"22,431,181",4
MtHDTs_RNAi2/Ri2F,SRX9902537,ILLUMINA,PAIRED,,SRR13489927,"22,420,791",4
MtHDTs_RNAi3/Ri3F,SRX9902533,ILLUMINA,PAIRED,,SRR13489931,"22,495,924",4
SC701,SRX6446944,ILLUMINA,PAIRED,,SRR9687437,"27,015,336",8
SC701AL,SRX6446893,ILLUMINA,PAIRED,,SRR9687488,"57,035,733",17
SC701D,SRX6446900,ILLUMINA,PAIRED,,SRR9687481,"26,716,770",8
SC701DL,SRX6446826,ILLUMINA,PAIRED,,SRR9687555,"25,880,703",7
SC701S,SRX6446844,ILLUMINA,PAIRED,,SRR9687537,"30,158,591",9
SC701SL,SRX6446862,ILLUMINA,PAIRED,,SRR9687519,"57,785,576",17
SC702,SRX6446945,ILLUMINA,PAIRED,,SRR9687436,"22,356,167",6
SC702AL,SRX6446890,ILLUMINA,PAIRED,,SRR9687491,"33,936,341",10
SC702D,SRX6446899,ILLUMINA,PAIRED,,SRR9687482,"23,641,066",7
SC702DL,SRX6446829,ILLUMINA,PAIRED,,SRR9687552,"26,321,904",7
SC702S,SRX6446845,ILLUMINA,PAIRED,,SRR9687536,"31,009,480",9
SC702SL,SRX6446863,ILLUMINA,PAIRED,,SRR9687518,"37,102,254",11
SC703,SRX6446942,ILLUMINA,PAIRED,,SRR9687439,"24,367,084",7
SC703AL,SRX6446891,ILLUMINA,PAIRED,,SRR9687490,"36,685,708",11
SC703D,SRX6446898,ILLUMINA,PAIRED,,SRR9687483,"24,499,707",7
SC703DL,SRX6446828,ILLUMINA,PAIRED,,SRR9687553,"22,032,315",6
SC703S,SRX6446842,ILLUMINA,PAIRED,,SRR9687539,"24,780,311",7
SC703SL,SRX6446864,ILLUMINA,PAIRED,,SRR9687517,"35,532,244",10
SC704,SRX6446943,ILLUMINA,PAIRED,,SRR9687438,"25,163,611",7
SC704AL,SRX6446894,ILLUMINA,PAIRED,,SRR9687487,"42,392,883",12
SC704D,SRX6446897,ILLUMINA,PAIRED,,SRR9687484,"50,593,691",15
SC704DL,SRX6446835,ILLUMINA,PAIRED,,SRR9687546,"25,696,055",7
SC704S,SRX6446843,ILLUMINA,PAIRED,,SRR9687538,"35,069,292",10
SC704SL,SRX6446865,ILLUMINA,PAIRED,,SRR9687516,"31,764,432",9
SC705,SRX6446940,ILLUMINA,PAIRED,,SRR9687441,"27,051,201",8
SC705AL,SRX6446895,ILLUMINA,PAIRED,,SRR9687486,"41,869,390",12
SC705D,SRX6446896,ILLUMINA,PAIRED,,SRR9687485,"30,396,447",9
SC705DL,SRX6446834,ILLUMINA,PAIRED,,SRR9687547,"21,874,841",6
SC705S,SRX6446840,ILLUMINA,PAIRED,,SRR9687541,"40,775,844",12
SC705SL,SRX6446858,ILLUMINA,PAIRED,,SRR9687523,"29,820,799",8
SC711,SRX6446941,ILLUMINA,PAIRED,,SRR9687440,"25,030,420",7
SC711AL,SRX6446849,ILLUMINA,PAIRED,,SRR9687532,"22,017,829",6
SC711D,SRX6446908,ILLUMINA,PAIRED,,SRR9687473,"28,499,972",8
SC711DL,SRX6446922,ILLUMINA,PAIRED,,SRR9687459,"28,257,191",8
SC711S,SRX6446841,ILLUMINA,PAIRED,,SRR9687540,"60,037,037",18
