#Experiment,Sample_Name,Bases
SRX6385804,GSM3913154,907254395
SRX6385805,GSM3913155,799908525
SRX6385806,GSM3913156,873586050
SRX6385807,GSM3913157,872519719
SRX6385808,GSM3913158,773397565
SRX6385809,GSM3913159,6561847284
SRX6385810,GSM3913160,6395245016
SRX6385811,GSM3913161,6651328615
SRX6385812,GSM3913162,7958580330
SRX6385813,GSM3913163,11063614168
SRX6385814,GSM3913164,20781130984
SRX6385815,GSM3913165,7115804936
SRX6385816,GSM3913166,8976903190
SRX6385817,GSM3913167,6703687884
SRX6385818,GSM3913168,6583608379
SRX6385819,GSM3913169,6285740828
SRX6385820,GSM3913170,8489734910
SRX6385821,GSM3913171,6979062960
SRX6385822,GSM3913172,6576355724
SRX6385823,GSM3913173,10175442436
SRX6385824,GSM3913174,6829583040
SRX6385825,GSM3913175,7544957204
SRX6385826,GSM3913176,6649431698
SRX6385827,GSM3913177,6086457868
SRX6385828,GSM3913178,6872404714
SRX6385829,GSM3913179,7516698158
SRX6385830,GSM3913180,6064013832
SRX6385831,GSM3913181,7796832150
SRX6385840,GSM3913190,880194058
SRX6385841,GSM3913191,861488818
SRX6385842,GSM3913192,955155876
SRX6385843,GSM3913193,826318465
SRX6385844,GSM3913194,1052360504
SRX6385845,GSM3913195,916457916
SRX6385846,GSM3913196,709593949
SRX6385847,GSM3913197,827257555
SRX6385848,GSM3913198,1101648715
SRX6385849,GSM3913199,1231321380
SRX6385850,GSM3913200,1024725725
SRX6385851,GSM3913201,1066813210
SRX6385852,GSM3913202,1098965834
SRX6385853,GSM3913203,850503895
SRX6385854,GSM3913204,885440082
SRX6385855,GSM3913205,844581566
SRX6385856,GSM3913206,970307282
SRX6385857,GSM3913207,902461676
SRX6385858,GSM3913208,996455641
SRX6385859,GSM3913209,1188835732
SRX6385860,GSM3913210,942363858
SRX6385861,GSM3913211,1036880371
SRX6385862,GSM3913212,1016631250
SRX6385863,GSM3913213,963647163
SRX6385864,GSM3913214,1153482849
SRX6385865,GSM3913215,963472610
SRX6385866,GSM3913216,1054869898
SRX6385867,GSM3913217,1085930101
SRX6385868,GSM3913218,1016244258
SRX6385869,GSM3913219,1100673672
SRX6385870,GSM3913220,985845601
SRX6385871,GSM3913221,996126323
SRX6385872,GSM3913222,992240571
SRX6385873,GSM3913223,1019243055
SRX6385874,GSM3913224,1069906563
SRX6385875,GSM3913225,1217112982
SRX6385876,GSM3913226,1196226187
SRX6385877,GSM3913227,1786586543
SRX6385878,GSM3913228,946824288
SRX6385879,GSM3913229,1366452210
SRX6385880,GSM3913230,1388313469
SRX6385881,GSM3913231,1085118193
SRX6385882,GSM3913232,1294812188
SRX6385883,GSM3913233,1250447721
SRX6385884,GSM3913234,1469306171
SRX6385885,GSM3913235,1122463275
SRX6385886,GSM3913236,1115319579
SRX6385887,GSM3913237,989173137
SRX6385888,GSM3913238,791059648
SRX6385889,GSM3913239,865714779
SRX6385890,GSM3913240,892512891
SRX6385891,GSM3913241,881734649
SRX6385892,GSM3913242,840114269
SRX6385893,GSM3913243,758597606
SRX6385894,GSM3913244,850221003
SRX6385895,GSM3913245,820712016
SRX6385896,GSM3913246,774458022
SRX6385897,GSM3913247,1011815855
SRX6385898,GSM3913248,1652839779
SRX6446944,SC701,8104600800
SRX6446893,SC701AL,17110719900
SRX6446900,SC701D,8015031000
SRX6446826,SC701DL,7764210900
SRX6446844,SC701S,9047577300
SRX6446862,SC701SL,17335672800
SRX6446945,SC702,6706850100
SRX6446890,SC702AL,10180902300
SRX6446899,SC702D,7092319800
SRX6446829,SC702DL,7896571200
SRX6446845,SC702S,9302844000
SRX6446863,SC702SL,11130676200
SRX6446942,SC703,7310125200
SRX6446891,SC703AL,11005712400
SRX6446898,SC703D,7349912100
SRX6446828,SC703DL,6609694500
SRX6446842,SC703S,7434093300
SRX6446864,SC703SL,10659673200
SRX6446943,SC704,7549083300
SRX6446894,SC704AL,12717864900
SRX6446897,SC704D,15178107300
SRX6446835,SC704DL,7708816500
SRX6446843,SC704S,10520787600
SRX6446865,SC704SL,9529329600
SRX6446940,SC705,8115360300
SRX6446895,SC705AL,12560817000
SRX6446896,SC705D,9118934100
SRX6446834,SC705DL,6562452300
SRX6446840,SC705S,12232753200
SRX6446858,SC705SL,8946239700
SRX6446941,SC711,7509126000
SRX6446849,SC711AL,6605348700
SRX6446908,SC711D,8549991600
